candidate_id,rank,score,reasoning
CAND_0018499,1,0.985791,"Senior Machine Learning Engineer with 7.2 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (in a preferred hub (Pune/Noida); response rate 61%)."
CAND_0046525,2,0.946301,"Senior Machine Learning Engineer with 6.1 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (in a preferred hub (Pune/Noida); response rate 88%)."
CAND_0077337,3,0.897482,"Staff Machine Learning Engineer with 7.0 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Strong JD fit (in India, willing to relocate; response rate 95%)."
CAND_0039754,4,0.89573,"Senior Applied Scientist with 16.2 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (in India, willing to relocate; response rate 81%)."
CAND_0046064,5,0.867802,"Senior NLP Engineer with 8.9 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (in India, relocation unclear; response rate 78%)."
CAND_0050454,6,0.855772,"AI Engineer with 6.8 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Strong JD fit (Tier-1 India city; response rate 77%)."
CAND_0017960,7,0.841575,"Recommendation Systems Engineer with 7.7 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (Tier-1 India city; response rate 72%)."
CAND_0044222,8,0.826954,"AI Engineer with 7.7 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (in India, relocation unclear; response rate 60%)."
CAND_0011687,9,0.816844,"Senior NLP Engineer with 7.8 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (in India, relocation unclear; response rate 89%)."
CAND_0010685,10,0.808833,"NLP Engineer with 6.7 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (Tier-1 India city; response rate 83%)."
